id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x0000020EB34F6D48;source;out1;valve_turb;in1;[];[];nan;False;False;6.182089055356681;kg / s;False;6.182089055356681;False;nan;nan;nan;False;100.0;bar;False;100.0;True;nan;nan;nan;False;3501.958852501496;kJ / kg;False;3501.958852501496;False;nan;nan;nan;False;550.0000000000016;C;False;550.0000000000016;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.2204191039044787;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x0000020EB34F6048;valve_turb;out1;turbine_hp;in1;['p'];[];nan;False;False;6.1820890553566805;kg / s;False;6.1820890553566805;False;nan;nan;nan;False;100.0;bar;False;100.0;True;nan;nan;nan;False;3501.958852501496;kJ / kg;False;3501.958852501496;False;nan;nan;nan;False;550.0000000000016;C;False;550.0000000000016;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.22041910390447866;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB34F6F08;turbine_hp;out1;splitter1;in1;['p'];[];nan;False;False;6.182089055356681;kg / s;False;6.182089055356681;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;2922.7792683057905;kJ / kg;False;2922.7792683057905;False;nan;nan;nan;False;240.8437247467872;C;False;240.8437247467872;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.4095161536120069;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB15C8C08;splitter1;out1;valve_pre;in1;[];[];nan;False;False;0.631577705463034;kg / s;False;0.631577705463034;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;2922.7792683057905;kJ / kg;False;2922.7792683057905;False;nan;nan;nan;False;240.8437247467872;C;False;240.8437247467872;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.1439997014180817;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB1310588;valve_pre;out1;preheater;in1;[];[];nan;False;False;0.631577705463034;kg / s;False;0.631577705463034;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;2922.7792683057905;kJ / kg;False;2922.7792683057905;False;nan;nan;nan;False;240.8437247467872;C;False;240.8437247467872;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.1439997014180817;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB34FFE08;splitter1;out2;turbine_lp;in1;[];[];nan;False;False;5.550511349893647;kg / s;False;5.550511349893647;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;2922.7792683057905;kJ / kg;False;2922.7792683057905;False;nan;nan;nan;False;240.8437247467872;C;False;240.8437247467872;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.265516452193925;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB1D1C288;preheater;out1;valve1;in1;[];[];nan;False;False;0.631577705463034;kg / s;False;0.631577705463034;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;760.5889240075029;kJ / kg;False;760.5889240075029;False;nan;nan;nan;False;179.4417534367198;C;False;179.4417534367198;False;nan;nan;nan;False;0.0;nan;False;nan;False;nan;nan;nan;False;0.0007115609454322002;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB3308C88;valve1;out1;merge1;in2;[];[];nan;False;False;0.631577705463034;kg / s;False;0.631577705463034;False;nan;nan;nan;False;2.1158906950121787;bar;False;2.1158906950121787;False;nan;nan;nan;False;760.5889240075029;kJ / kg;False;760.5889240075029;False;nan;nan;nan;False;121.99999999999949;C;False;121.99999999999949;False;nan;nan;nan;False;0.11303311726413384;nan;False;nan;False;nan;nan;nan;False;0.060575207955573654;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB12F5248;turbine_lp;out1;merge1;in1;[];[];nan;False;False;5.550511349893648;kg / s;False;5.550511349893648;False;nan;nan;nan;False;2.1158906950121787;bar;False;2.1158906950121787;False;nan;nan;nan;False;2651.6716617381926;kJ / kg;False;2651.6716617381926;False;nan;nan;nan;False;121.99999999999949;C;False;121.99999999999949;False;nan;nan;nan;False;0.9739838660535886;nan;False;nan;False;nan;nan;nan;False;4.542290045212515;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB12F80C8;merge1;out1;condenser;in1;[];[];nan;False;False;6.182089055356681;kg / s;False;6.182089055356681;False;nan;nan;nan;False;2.1158906950121787;bar;False;2.1158906950121787;False;nan;nan;nan;False;2458.4739116504934;kJ / kg;False;2458.4739116504934;False;nan;nan;nan;False;121.99999999999949;C;False;121.99999999999949;False;nan;nan;nan;False;0.8860269806758265;nan;False;nan;False;nan;nan;nan;False;4.602865253168088;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
