id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Ar;Ar0;Ar_set;CH4;CH40;CH4_set;CO2;CO20;CO2_set;H2O;H2O0;H2O_set;N2;N20;N2_set;O2;O20;O2_set;balance
0x000002990D805648;ambient air;out1;compressor;in1;['m'];[];nan;False;False;250.0;kg / s;False;250.0;True;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;293.5615184542859;kJ / kg;False;293.5615184542859;False;nan;nan;nan;False;20.0;C;False;20.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;210.30882725224714;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;True;0.0;0.0;True;0.0004;0.0004;True;0.0;0.0;True;0.7553;0.7553;True;0.2314;0.2314;True;False
0x000002990D8058C8;compressor;out1;combustion;in1;[];[];nan;False;False;250.0;kg / s;False;250.0;False;nan;nan;nan;False;14.0;bar;False;14.0;False;nan;nan;nan;False;657.0428593200077;kJ / kg;False;657.0428593200077;False;nan;nan;nan;False;373.6349524594865;C;False;373.6349524594865;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;33.335665711282296;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0129;0.0129;False;0.0;0.0;False;0.0004;0.0004;False;0.0;0.0;False;0.7553;0.7553;False;0.2314;0.2314;False;False
0x000002990736A188;fuel source;out1;combustion;in2;[];[];nan;False;False;5.443202493672222;kg / s;False;5.443202493672222;False;nan;nan;nan;False;14.0;bar;False;14.0;False;nan;nan;nan;False;870.4957293091026;kJ / kg;False;870.4957293091026;False;nan;nan;nan;False;19.999999999999943;C;False;19.999999999999943;False;0x000002990D805648;1.0;0.0;True;nan;nan;False;nan;False;nan;nan;nan;False;0.560530182620102;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;True;0.96;0.96;True;0.04;0.04;True;0.0;0.0;True;0.0;0.0;True;0.0;0.0;True;False
0x000002990736A708;combustion;out1;gas turbine;in1;[];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;14.0;bar;False;14.0;False;nan;nan;nan;False;1790.832324996057;kJ / kg;False;1790.832324996057;False;nan;nan;nan;False;1199.9999999998477;C;False;1199.9999999998477;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;78.65776903731204;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x000002990736AC48;gas turbine;out1;superheater;in1;[];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;1.041020355685217;bar;False;1.041020355685217;False;nan;nan;nan;False;1054.123922057776;kJ / kg;False;1054.123922057776;False;nan;nan;nan;False;604.3562852526821;C;False;604.3562852526821;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;628.297643654403;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x00000299075642C8;superheater;out1;evaporator;in1;[];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;1.0306101521283648;bar;False;1.0306101521283648;False;nan;nan;nan;False;960.1674532857721;kJ / kg;False;960.1674532857721;False;nan;nan;nan;False;523.6586801942655;C;False;523.6586801942655;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;576.2772217451967;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x00000299076A4988;evaporator;out1;economizer;in1;[];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;1.020304050607081;bar;False;1.020304050607081;False;nan;nan;nan;False;763.4189098417908;kJ / kg;False;763.4189098417908;False;nan;nan;nan;False;349.6139804504314;C;False;349.6139804504314;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;454.918665114767;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x000002990D7E7688;economizer;out1;waste heat recovery;in1;['T'];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;1.0101010101010102;bar;False;1.0101010101010102;False;nan;nan;nan;False;697.8967347842369;kJ / kg;False;697.8967347842369;False;nan;nan;nan;False;289.9999999998756;C;False;289.9999999998756;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;415.4952611841955;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x000002990D7E7488;waste heat recovery;out1;chimney;in1;['T'];[];nan;False;False;255.44320249367223;kg / s;False;255.44320249367223;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;494.547326161416;kJ / kg;False;494.547326161416;False;nan;nan;nan;False;99.99999999987966;C;False;99.99999999987966;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;277.75757117854346;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0126251157537844;0.0126251157537844;False;0.0;0.0;False;0.05736162583571858;0.05736162583571858;False;0.04594327257889336;0.04594327257889336;False;0.7392054208397951;0.7392054208397951;False;0.1448644833841009;0.1448644833841009;False;False
0x000002990601DF08;economizer;out2;drum;in1;[];[];nan;False;False;29.40149331148387;kg / s;False;29.40149331148387;False;nan;nan;nan;False;119.9040767386091;bar;False;119.9040767386091;False;nan;nan;nan;False;976.2837612839494;kJ / kg;False;976.2837612839494;False;nan;nan;nan;False;226.53848662871832;C;False;226.53848662871832;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.03499454671070094;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0.0;False;0.0;0.0;False;0.0;0.0;False;1.0;1.0;False;0.0;0.0;False;0.0;0.0;False;False
